,0
0.0,0.013818359375
1.001001001001001e-09,0.013916015625
2.002002002002002e-09,0.0138671875
3.003003003003003e-09,0.013818359375
4.004004004004004e-09,0.013916015625
5.005005005005004e-09,0.01376953125
6.006006006006006e-09,0.013818359375
7.0070070070070065e-09,0.014013671875000001
8.008008008008007e-09,0.013720703125
9.009009009009009e-09,0.0138671875
1.0010010010010009e-08,0.0138671875
1.101101101101101e-08,0.0138671875
1.2012012012012012e-08,0.013964843749999999
1.3013013013013011e-08,0.013671875000000002
1.4014014014014013e-08,0.01376953125
1.5015015015015013e-08,0.01376953125
1.6016016016016014e-08,0.013671875000000002
1.7017017017017016e-08,0.013818359375
1.8018018018018017e-08,0.01376953125
1.9019019019019016e-08,0.013818359375
2.0020020020020017e-08,0.013671875000000002
2.102102102102102e-08,0.01376953125
2.202202202202202e-08,0.01376953125
2.3023023023023022e-08,0.01376953125
2.4024024024024023e-08,0.013818359375
2.502502502502502e-08,0.01376953125
2.6026026026026023e-08,0.013818359375
2.7027027027027024e-08,0.0138671875
2.8028028028028026e-08,0.013818359375
2.9029029029029028e-08,0.013671875000000002
3.0030030030030026e-08,0.013671875000000002
3.103103103103103e-08,0.013818359375
3.203203203203203e-08,0.013916015625
3.303303303303303e-08,0.013916015625
3.403403403403403e-08,0.013916015625
3.503503503503503e-08,0.013720703125
3.6036036036036035e-08,0.0138671875
3.7037037037037036e-08,0.013964843749999999
3.803803803803803e-08,0.01376953125
3.903903903903903e-08,0.01376953125
4.0040040040040034e-08,0.013964843749999999
4.1041041041041036e-08,0.01376953125
4.204204204204204e-08,0.013916015625
4.304304304304304e-08,0.013818359375
4.404404404404404e-08,0.013916015625
4.504504504504504e-08,0.013818359375
4.6046046046046043e-08,0.013720703125
4.7047047047047045e-08,0.014013671875000001
4.8048048048048046e-08,0.013574218750000002
4.904904904904904e-08,0.013818359375
5.005005005005004e-08,0.013720703125
5.1051051051051044e-08,0.0138671875
5.2052052052052046e-08,0.0138671875
5.305305305305305e-08,0.01376953125
5.405405405405405e-08,0.013720703125
5.505505505505505e-08,0.013720703125
5.605605605605605e-08,0.013720703125
5.7057057057057053e-08,0.0138671875
5.8058058058058055e-08,0.0138671875
5.905905905905905e-08,0.013916015625
6.006006006006005e-08,0.0138671875
6.106106106106106e-08,0.013671875000000002
